,Unnamed: 0,hermes_name,seed,length_episodes,gpu,gpu_id,gamma,positive_reward,negative_reward,step_reward,num_episodes,extract_replay_buffer,extract_all_states,eps_start,eps_end,eps_decay,buffer_size,number_state_variables,best_network_score,pretrained_neural_network,tau,learning_rate,update_every,neural_network_file,neural_network_weights,policy_extraction_frequency,map_name,noise,random_start,random_velocity,landmarking,surround_with_walls,continuous,penalizing_standing_still,noise_probability,maximal_random_velocity,width_goal_line,es_length_stage,es_pre_training,es_epsilon,es_kappa,es_initial_runs,es_num_threads,es_use_chernoff_hoeffding,es_minimal_prio,es_alpha,es_grp,experiment_path,entropy_weight,train,eid,learning_rate_actor,learning_rate_critic,gae_lambda,initial_temperature,temperature_decay,minimal_temperature,experiment_name,script,sign,json_file,grps_mean,grps_variance,returns_mean,returns_variance,pr_alpha,pr_beta,pr_min_prio,checkpoint_episodes,batch_size,num_obstacles,benchmark,relevance_heuristic,reduction_strategy,archive_size_factor,psi_min,psi_max,print_heatmaps,betas,no_regret
0,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,29999,,0.0,0.0,-0.019,0.009,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
1,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,39999,,0.0,0.0,-0.003,0.002,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
2,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,19999,,0.0,0.0,-0.012,0.005,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
3,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,best,,0.0,0.0,-0.004,0.002,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
4,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,end,,0.0,0.0,0.0,0.0,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
5,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,9999,,0.0,0.0,-0.02,0.009,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
6,0,2023_12_05_072908979522_2_00000,2,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,29999,,0.0,0.0,-0.004,0.001,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
7,0,2023_12_05_072908979522_2_00000,2,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,39999,,0.0,0.0,-0.002,0.002,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
8,0,2023_12_05_072908978625_0_00000,0,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,29999,,0.0,0.0,-0.021,0.01,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
9,0,2023_12_05_072908979522_2_00000,2,200,False,4,0.99,1.0,-1.0,0.0,40000,False,False,1.0,0.05,0.999,100000000,1,-inf,,0.001,0.0001,4.0,fcn,,10000,DynObsDoor,True,True,False,False,False,False,True,0.1,5,3,10000,10000,0.05,0.05,100,8,False,0.2,1,True,/home/s8namuel/rare/mg_baselines,0.001,False,False,-,-,0.9,1.0,0.99,1.0,results,learn_dqn,best,,0.0,0.0,-0.014,0.007,1.0,0.0,1e-05,100,512,6,minigrid,value,cluster,0.25,0.2,0.8,False,,
